rank,name,downloads,cumulative_downloads,cumulative_share_pct
480,aws-sdk-autoscaling,111970074,169707020187,64.3736
481,aws-sdk-ecs,111591348,169818611535,64.4159
482,Ascii85,111458713,169930070248,64.4582
483,kostya-sigar,111412874,170041483122,64.5005
484,prettyprint,111338380,170152821502,64.5427
485,googleapis-common-protos,111060244,170263881746,64.5848
486,ansi,110937769,170374819515,64.6269
487,gli,110187368,170485006883,64.6687
488,premailer-rails,110170382,170595177265,64.7105
489,rack-timeout,109886581,170705063846,64.7522
490,cocoapods-downloader,109711113,170814774959,64.7938
491,nkf,109560921,170924335880,64.8354
492,systemu,109451816,171033787696,64.8769
493,capybara-screenshot,109248458,171143036154,64.9183
494,httpi,109083501,171252119655,64.9597
495,better_errors,108993204,171361112859,65.001
496,geocoder,108662063,171469774922,65.0423
497,erb,108522393,171578297315,65.0834
498,yajl-ruby,108358993,171686656308,65.1245
499,pundit,108312904,171794969212,65.1656
500,json-jwt,108295330,171903264542,65.2067
501,diffy,107426199,172010690741,65.2474
502,will_paginate,107125301,172117816042,65.2881
503,memory_profiler,106485380,172224301422,65.3285
504,ruby-macho,106454497,172330755919,65.3688
505,logging,106206047,172436961966,65.4091
506,powerpack,105832650,172542794616,65.4493
507,strscan,104893019,172647687635,65.4891
508,aasm,104333244,172752020879,65.5286
509,llhttp-ffi,104057733,172856078612,65.5681
510,bcrypt_pbkdf,103993257,172960071869,65.6076
511,aws-sdk-elasticloadbalancingv2,103967450,173064039319,65.647
512,little-plugger,103942794,173167982113,65.6864
513,turbolinks-source,103883826,173271865939,65.7258
514,mongo,103590417,173375456356,65.7651
515,fuzzy_match,103216278,173478672634,65.8043
516,wasabi,103176634,173581849268,65.8434
517,cucumber,103042690,173684891958,65.8825
518,rspec-its,102809692,173787701650,65.9215
519,aes_key_wrap,102779261,173890480911,65.9605
520,fluent-plugin-record-modifier,102736231,173993217142,65.9994
521,reverse_markdown,102429821,174095646963,66.0383
522,jsonapi-renderer,102106728,174197753691,66.077
523,prawn,101720203,174299473894,66.1156
524,cocoapods-trunk,101642627,174401116521,66.1542
525,unparser,101560283,174502676804,66.1927
526,akami,101525762,174604202566,66.2312
527,polyglot,101386389,174705588955,66.2697
528,hashery,101094195,174806683150,66.308
529,rails-deprecated_sanitizer,100912433,174907595583,66.3463
530,aws-sdk-cognitoidentityprovider,100535239,175008130822,66.3844
531,savon,100240333,175108371155,66.4225
532,rubocop-capybara,100211969,175208583124,66.4605
533,tomlrb,99923835,175308506959,66.4984
534,ddtrace,99543229,175408050188,66.5361
535,aws-sdk-athena,99504808,175507554996,66.5739
536,i18n_data,99315992,175606870988,66.6115
537,afm,99061675,175705932663,66.6491
538,aws-sdk-rekognition,98895163,175804827826,66.6866
539,ssrf_filter,98745580,175903573406,66.7241
540,uuidtools,98616988,176002190394,66.7615
541,aws-sdk-configservice,97721419,176099911813,66.7986
542,simple_form,97316530,176197228343,66.8355
543,escape,96950191,176294178534,66.8723
544,aws-sdk-apigateway,96842314,176391020848,66.909
545,aws-sdk-redshift,96780457,176487801305,66.9457
546,rubocop-factory_bot,96617906,176584419211,66.9823
547,cocoapods-deintegrate,96557944,176680977155,67.019
548,aws-sdk-glue,96555981,176777533136,67.0556
549,pdf-core,96537147,176874070283,67.0922
550,aws-sdk-elasticache,96316595,176970386878,67.1288
551,mocha,96109848,177066496726,67.1652
552,test-unit,95811984,177162308710,67.2016
553,webpacker,95572983,177257881693,67.2378
554,algoliasearch,95502045,177353383738,67.274
555,term-ansicolor,95447870,177448831608,67.3102
556,sidekiq-cron,95335717,177544167325,67.3464
557,commonmarker,95287259,177639454584,67.3825
558,cocoapods-try,95223751,177734678335,67.4187
559,jsonpath,95100987,177829779322,67.4547
560,fourflusher,94947582,177924726904,67.4908
561,docker-api,94905652,178019632556,67.5268
562,aws-sdk-elasticsearchservice,94761282,178114393838,67.5627
563,flipper,94515638,178208909476,67.5986
564,activemodel-serializers-xml,94445524,178303355000,67.6344
565,sshkit,94442477,178397797477,67.6702
566,cocoapods-search,94355818,178492153295,67.706
567,aws-sdk-batch,94256567,178586409862,67.7417
568,aws-sdk-pinpoint,94221978,178680631840,67.7775
569,aws-sdk-acm,94158768,178774790608,67.8132
570,treetop,94151826,178868942434,67.8489
571,aws-sdk-cloudtrail,94141953,178963084387,67.8846
572,case_transform,94093203,179057177590,67.9203
573,cancancan,94085944,179151263534,67.956
574,aws-sdk-mediaconvert,93989066,179245252600,67.9917
575,redis-activesupport,93945891,179339198491,68.0273
576,aws-sdk-organizations,93940263,179433138754,68.0629
577,no_proxy_fix,93851592,179526990346,68.0985
578,graphql-client,93695224,179620685570,68.1341
579,openssl,93606365,179714291935,68.1696
580,aws-sdk-emr,93439795,179807731730,68.205
581,mixlib-shellout,93294364,179901026094,68.2404
582,aws-sdk-codedeploy,93173624,179994199718,68.2758
583,aws-sdk-xray,93133725,180087333443,68.3111
584,aws-sdk-databasemigrationservice,93068705,180180402148,68.3464
585,cocoapods-plugins,92940954,180273343102,68.3816
586,aws-sdk-efs,92907435,180366250537,68.4169
587,aws-sdk-sagemaker,92893644,180459144181,68.4521
588,aws-sdk-dynamodbstreams,92872622,180552016803,68.4873
589,aws-sdk-applicationautoscaling,92852922,180644869725,68.5226
590,require_all,92808868,180737678593,68.5578
591,fluent-plugin-elasticsearch,92386518,180830065111,68.5928
592,aws-sdk-codebuild,92371087,180922436198,68.6279
593,aws-sdk-elasticbeanstalk,92189231,181014625429,68.6628
594,multi_test,92082097,181106707526,68.6978
595,sixarm_ruby_unaccent,91953293,181198660819,68.7326
596,rubyntlm,91873635,181290534454,68.7675
597,aws-sdk-iot,91796329,181382330783,68.8023
598,aws-sdk-cloudhsmv2,91584186,181473914969,68.837
599,aws-sdk-codepipeline,91505720,181565420689,68.8718
600,aws-sdk-servicecatalog,91497017,181656917706,68.9065
601,ruby-prof,91485801,181748403507,68.9412
602,aws-sdk-polly,90957368,181839360875,68.9757
603,jquery-ui-rails,90846309,181930207184,69.0101
604,aws-sdk-cognitoidentity,90779466,182020986650,69.0446
605,aws-sdk-lightsail,90591286,182111577936,69.0789
606,aws-sdk-budgets,90518271,182202096207,69.1133
607,aws-sdk-route53domains,90492227,182292588434,69.1476
608,aws-sdk-workspaces,90460392,182383048826,69.1819
609,aws-sdk-waf,90438076,182473486902,69.2162
610,slack-ruby-client,90420709,182563907611,69.2505
611,activeresource,90315860,182654223471,69.2848
612,recaptcha,89959761,182744183232,69.3189
613,fog-google,89929168,182834112400,69.353
