package,version,released,platform,prerelease
aws-sdk-core,3.192.0,2024-04-16,ruby,False
aws-sdk-core,3.191.6,2024-04-02,ruby,False
aws-sdk-core,3.191.5,2024-03-26,ruby,False
aws-sdk-core,3.191.4,2024-03-15,ruby,False
aws-sdk-core,3.191.3,2024-02-20,ruby,False
aws-sdk-core,3.191.2,2024-02-14,ruby,False
aws-sdk-core,3.191.1,2024-02-07,ruby,False
aws-sdk-core,3.191.0,2024-01-26,ruby,False
aws-sdk-core,3.190.3,2024-01-16,ruby,False
aws-sdk-core,3.190.2,2024-01-10,ruby,False
aws-sdk-core,3.190.1,2023-12-20,ruby,False
aws-sdk-core,3.190.0,2023-11-29,ruby,False
aws-sdk-core,3.189.0,2023-11-28,ruby,False
aws-sdk-core,3.188.0,2023-11-22,ruby,False
aws-sdk-core,3.187.1,2023-11-20,ruby,False
aws-sdk-core,3.187.0,2023-11-17,ruby,False
aws-sdk-core,3.186.0,2023-11-02,ruby,False
aws-sdk-core,3.185.2,2023-10-31,ruby,False
aws-sdk-core,3.185.1,2023-10-05,ruby,False
aws-sdk-core,3.185.0,2023-10-02,ruby,False
aws-sdk-core,3.184.0,2023-09-27,ruby,False
aws-sdk-core,3.183.1,2023-09-25,ruby,False
aws-sdk-core,3.183.0,2023-09-20,ruby,False
aws-sdk-core,3.182.0,2023-09-19,ruby,False
aws-sdk-core,3.181.1,2023-09-14,ruby,False
aws-sdk-core,3.181.0,2023-08-22,ruby,False
aws-sdk-core,3.180.3,2023-08-09,ruby,False
