package,version,bytes,size_mb,version_count,stable_versions,all_versions_bytes_est,all_versions_gb_est
syntax_tree,6.3.0,221696,0.222,50,50,11084800,0.0111
aws-sdk-fsx,1.137.0,219136,0.219,137,137,30021632,0.03
oj,3.17.6,219136,0.219,298,297,65302528,0.0653
highline,3.1.2,218624,0.219,72,61,15740928,0.0157
google-cloud-bigquery,1.64.0,218112,0.218,100,100,21811200,0.0218
aws-sdk-autoscaling,1.166.0,215040,0.215,179,167,38492160,0.0385
discordrb,3.8.0,215040,0.215,82,82,17633280,0.0176
lucide-rails,0.7.4,214528,0.215,11,11,2359808,0.0024
simplecov,1.2.0,212992,0.213,70,60,14909440,0.0149
mailgun-ruby,1.4.4,212992,0.213,46,46,9797632,0.0098
sass,3.7.4,208896,0.209,327,97,68308992,0.0683
openssl,4.0.2,206848,0.207,55,51,11376640,0.0114
momentjs-rails,2.29.4.1,206336,0.206,33,33,6809088,0.0068
sterile,1.0.26,204800,0.205,25,25,5120000,0.0051
kostya-sigar,2.0.11,204800,0.205,20,18,4096000,0.0041
kwalify,0.7.2,203776,0.204,12,12,2445312,0.0024
aws-sdk-cloudwatchlogs,1.162.0,203776,0.204,174,162,35457024,0.0355
railties,8.1.3,202752,0.203,455,283,92252160,0.0923
roda,3.107.0,202752,0.203,146,146,29601792,0.0296
aws-sdk-lambda,1.194.0,202240,0.202,211,195,42672640,0.0427
turbo-rails,2.0.23,202240,0.202,74,67,14965760,0.015
aws-sdk-pinpoint,1.125.0,201728,0.202,138,127,27838464,0.0278
discourse_dev_assets,0.0.6,200192,0.2,6,6,1201152,0.0012
uglifier,4.2.1,198144,0.198,93,91,18427392,0.0184
nkf,0.3.0,198144,0.198,8,8,1585152,0.0016
ruby_llm,1.16.0,197632,0.198,88,35,17391616,0.0174
dm-core,1.2.1,196608,0.197,27,19,5308416,0.0053
carmen,1.1.3,196608,0.197,21,19,4128768,0.0041
license_finder,7.2.1,196096,0.196,123,113,24119808,0.0241
aws-sdk-guardduty,1.160.0,196096,0.196,161,161,31571456,0.0316
m,1.7.0,194560,0.195,20,19,3891200,0.0039
aws-sdk-wafv2,1.137.0,194560,0.195,137,137,26654720,0.0267
net-imap,0.6.6,193536,0.194,71,71,13741056,0.0137
line-bot-api,2.10.0,193024,0.193,64,64,12353536,0.0124
chartkick,5.2.1,193024,0.193,86,86,16600064,0.0166
actionview,8.1.3,192000,0.192,309,207,59328000,0.0593
intercom,4.2.2,189952,0.19,120,119,22794240,0.0228
message_bus,5.0.0,189440,0.189,94,80,17807360,0.0178
http_parser.rb,0.8.1,188416,0.188,24,21,4521984,0.0045
xmpp4r,0.5.6,187904,0.188,7,7,1315328,0.0013
jquery-ui-rails,8.0.0,186880,0.187,39,39,7288320,0.0073
literate_randomizer,0.4.0,186368,0.186,6,6,1118208,0.0011
gettext,3.5.2,184832,0.185,99,99,18298368,0.0183
argon2-kdf,1.0.0,182784,0.183,12,12,2193408,0.0022
ed25519,1.4.0,182272,0.182,19,19,3463168,0.0035
aws-sdk-elasticache,1.148.0,181248,0.181,160,148,28999680,0.029
grape,3.3.5,180736,0.181,87,85,15724032,0.0157
mime-types-data,3.2026.0701,179712,0.18,79,75,14197248,0.0142
jruby-rack,2.0.0,179712,0.18,46,45,8266752,0.0083
bson,5.2.0,179200,0.179,274,222,49100800,0.0491
jd-paperclip-azure,3.0.0,178176,0.178,1,1,178176,0.0002
aws-sdk-kms,1.130.0,178176,0.178,144,131,25657344,0.0257
aws-sdk-eks,1.176.0,177664,0.178,177,177,31446528,0.0314
slack-ruby-client,3.2.0,177664,0.178,58,58,10304512,0.0103
metasploit_data_models,6.0.18,177152,0.177,188,178,33304576,0.0333
aws-sdk-kendra,1.117.0,176640,0.177,118,118,20843520,0.0208
curb,1.3.7,176640,0.177,94,94,16604160,0.0166
redmine_crm,0.0.63,175616,0.176,55,55,9658880,0.0097
r10k,5.0.3,175104,0.175,122,111,21362688,0.0214
aws-sdk-batch,1.151.0,174592,0.175,164,153,28633088,0.0286
aws-sdk-rekognition,1.134.0,174080,0.174,151,135,26286080,0.0263
axe-core-api,4.13.0,174080,0.174,214,31,37253120,0.0373
image_size,3.6.0,174080,0.174,35,35,6092800,0.0061
aws-sdk-opensearchservice,1.108.0,173056,0.173,109,109,18863104,0.0189
erubis,2.7.0,173056,0.173,20,20,3461120,0.0035
aws-sdk-customerprofiles,1.93.0,172544,0.173,94,94,16219136,0.0162
facter,4.10.0,172032,0.172,262,179,45072384,0.0451
unicode-emoji,4.2.0,170496,0.17,39,39,6649344,0.0066
bootstrap,5.3.8,169984,0.17,54,36,9179136,0.0092
aws-sdk-backup,1.117.0,168960,0.169,118,118,19937280,0.0199
markly,0.18.1,168448,0.168,32,32,5390336,0.0054
rspec-core,3.13.6,167936,0.168,149,94,25022464,0.025
ruby_http_client,3.6.0,167936,0.168,23,23,3862528,0.0039
aws-sdk-inspector2,1.81.0,166400,0.166,82,82,13644800,0.0136
aws-sdk-cleanrooms,1.79.0,166400,0.166,80,80,13312000,0.0133
rchardet,1.10.2,164864,0.165,17,17,2802688,0.0028
aws-sdk-s3control,1.134.0,164352,0.164,137,137,22516224,0.0225
datadog-ci,1.38.1,163328,0.163,71,65,11596288,0.0116
aws-sdk-sesv2,1.107.0,162816,0.163,108,108,17584128,0.0176
reek,6.5.0,162816,0.163,146,145,23771136,0.0238
domain_name,0.6.20260902,161792,0.162,43,43,6957056,0.007
rdf,3.3.4,160256,0.16,154,145,24679424,0.0247
fpm,1.18.0,159232,0.159,132,129,21018624,0.021
mcp,1.5.0,159232,0.159,35,35,5573120,0.0056
gitlab-dangerfiles,4.12.0,159232,0.159,86,86,13693952,0.0137
xcov,1.9.0,158720,0.159,48,48,7618560,0.0076
ms_rest,0.7.6,158720,0.159,20,20,3174400,0.0032
nap,1.1.0,156160,0.156,15,11,2342400,0.0023
google-apis-bigquery_v2,0.107.0,156160,0.156,107,107,16709120,0.0167
aws-sdk-transfer,1.143.0,155648,0.156,144,144,22413312,0.0224
pry,0.16.0,155136,0.155,484,305,75085824,0.0751
excon,1.7.1,154624,0.155,282,282,43603968,0.0436
aws-sdk-cloudwatch,1.146.0,154624,0.155,160,149,24739840,0.0247
aws-sdk-networkfirewall,1.97.0,151552,0.152,98,98,14852096,0.0149
ruby-lsp,0.26.11,151552,0.152,155,150,23490560,0.0235
opentelemetry-semantic_conventions,1.44.0,151552,0.152,17,17,2576384,0.0026
cloudinary,2.4.5,151040,0.151,152,151,22958080,0.023
aws-sdk-mediaconnect,1.105.0,151040,0.151,106,106,16010240,0.016
aws-sdk-pinpointsmsvoicev2,1.61.0,151040,0.151,63,63,9515520,0.0095
dependabot-common,0.395.0,150528,0.151,987,986,148571136,0.1486
launchdarkly-server-sdk,8.15.1,150528,0.151,95,95,14300160,0.0143
codeclimate-test-reporter,1.0.9,149504,0.15,40,38,5980160,0.006
mechanize,2.14.1,148992,0.149,96,92,14303232,0.0143
xcode-install,2.8.1,147456,0.147,62,62,9142272,0.0091
rest-client,2.1.0,147456,0.147,113,74,16662528,0.0167
aws-sdk-route53,1.137.0,146944,0.147,154,139,22629376,0.0226
sshkit,1.25.1,146944,0.147,84,83,12343296,0.0123
shoryuken,7.0.3,146432,0.146,82,79,12007424,0.012
net-ssh,7.3.3,145920,0.146,162,97,23639040,0.0236
aws-sdk-codebuild,1.177.0,143872,0.144,192,179,27623424,0.0276
certified,1.0.0,143360,0.143,4,4,573440,0.0006
progress_bar,1.3.4,143360,0.143,22,22,3153920,0.0032
aws-sdk-omics,1.76.0,143360,0.143,78,78,11182080,0.0112
aws-sdk-storagegateway,1.129.0,142848,0.143,144,130,20570112,0.0206
cookstyle,9.0.0,142336,0.142,149,149,21208064,0.0212
aws-sdk-emr,1.135.0,141824,0.142,148,136,20989952,0.021
