gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
kaminari-mongoid,1,1.0.2,1.0.2,7.0,7.0,7.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,,71.0,8704.0,0.0,0.0
karafka,1,2.6.1,2.6.1,1801.0,1801.0,1802.0,0.0,1493.0,306.0,2.0,1801.0,0.0,0.0,475.0,0.0,,20963.0,410112.0,1.0,0.0
karafka-core,1,2.6.3,2.6.3,104.0,104.0,105.0,0.0,82.0,22.0,0.0,104.0,0.0,0.0,24.0,0.0,,1025.0,48640.0,0.0,0.0
karafka-rdkafka,1,0.28.1,0.28.1,378.0,378.0,378.0,0.0,349.0,29.0,0.0,378.0,0.0,0.0,65.0,0.0,,4463.0,4983808.0,0.0,0.0
karafka-testing,1,2.6.2,2.6.2,41.0,41.0,41.0,0.0,33.0,8.0,0.0,41.0,0.0,0.0,11.0,0.0,,507.0,27648.0,0.0,0.0
karafka-web,1,1.0.1,1.0.1,939.0,939.0,939.0,0.0,671.0,268.0,0.0,939.0,0.0,0.0,325.0,0.0,,12873.0,947712.0,0.0,0.0
kas-grpc,1,0.6.0,0.6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,,258.0,8192.0,0.0,0.0
katex,1,0.11.0,0.11.0,8.0,8.0,8.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,,88.0,954368.0,0.0,0.0
keela,1,0.4.1,0.4.1,146.0,146.0,146.0,0.0,111.0,35.0,0.0,146.0,0.0,0.0,19.0,0.0,,876.0,25600.0,0.0,0.0
kgio,1,2.11.4,2.11.4,279.0,279.0,251.0,50.0,274.0,5.0,0.0,279.0,0.0,0.0,3.0,19.0,c,1308.0,60416.0,0.0,0.0
kicker,1,3.0.0,3.0.0,140.0,140.0,140.0,0.0,125.0,15.0,0.0,140.0,0.0,0.0,17.0,0.0,,798.0,15360.0,0.0,0.0
kindlerb,1,1.2.0,1.2.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,,203.0,11776.0,0.0,0.0
king_konf,1,1.0.1,1.0.1,41.0,41.0,41.0,0.0,38.0,3.0,0.0,41.0,0.0,0.0,7.0,0.0,,272.0,13824.0,0.0,0.0
kitchen-vagrant,1,2.4.1,2.4.1,68.0,68.0,68.0,0.0,25.0,1.0,42.0,68.0,0.0,0.0,3.0,0.0,,557.0,20480.0,0.0,0.0
klogger-logger,1,1.5.0,1.5.0,52.0,52.0,52.0,0.0,44.0,8.0,0.0,52.0,0.0,0.0,12.0,0.0,,385.0,11264.0,0.0,0.0
