package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
Microsoft.Win32.Registry,5.0.0,ok,lib/net461/Microsoft.Win32.Registry.xml,94835,,8,14,354731,65558
System.Reflection.Emit.ILGeneration,4.7.0,ok,lib/netstandard1.0/System.Reflection.Emit.ILGeneration.xml,57358,,6,13,204011,65558
System.Runtime.Handles,4.3.0,ok,ref/netstandard1.3/System.Runtime.Handles.xml,12924,,1,10,54854,54854
System.Reflection.Extensions,4.3.0,ok,ref/netcore50/System.Reflection.Extensions.xml,42950,,2,20,99740,65558
System.Text.RegularExpressions,4.3.1,ok,ref/netcore50/System.Text.RegularExpressions.xml,85349,,9,40,539599,65558
System.Net.Http,4.3.4,ok,,0,,5,0,620644,65558
Microsoft.Extensions.Configuration.FileExtensions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.FileExtensions.xml,11658,,5,5,138741,65558
Microsoft.Extensions.DependencyModel,10.0.11,ok,lib/net10.0/Microsoft.Extensions.DependencyModel.xml,39177,,5,5,268938,65558
System.ObjectModel,4.3.0,ok,ref/netcore50/System.ObjectModel.xml,67208,,5,30,321655,65558
System.Text.Encoding.Extensions,4.3.0,ok,ref/netcore50/System.Text.Encoding.Extensions.xml,106573,,3,30,244195,65558
System.IO.FileSystem.Primitives,4.3.0,ok,ref/netstandard1.3/System.IO.FileSystem.Primitives.xml,9830,,4,10,94996,65558
System.IO.FileSystem,4.3.0,ok,ref/netstandard1.3/System.IO.FileSystem.xml,283171,,3,10,274316,65558
System.ComponentModel.Annotations,5.0.0,ok,lib/netstandard2.1/System.ComponentModel.Annotations.xml,105308,,12,44,771145,65558
System.Xml.XDocument,4.3.0,ok,ref/netcore50/System.Xml.XDocument.xml,158939,,5,30,591350,65558
Microsoft.Extensions.Configuration.Json,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.Json.xml,10282,,6,6,154900,65558
System.Security.Cryptography.X509Certificates,4.3.2,ok,,0,,6,0,362871,65558
System.Text.Encoding.CodePages,10.0.11,ok,lib/net10.0/System.Text.Encoding.CodePages.xml,2077,,5,5,4282745,65558
Serilog,4.4.0,ok,lib/net10.0/Serilog.xml,310313,README.md,7,7,769695,65558
System.Diagnostics.Tracing,4.3.0,ok,ref/netcore50/System.Diagnostics.Tracing.xml,62459,,7,50,581864,65558
System.Reflection.Metadata,10.0.11,ok,lib/net10.0/System.Reflection.Metadata.xml,674415,,5,5,1390080,65558
Microsoft.IdentityModel.Abstractions,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Abstractions.xml,16405,README.md,7,7,128905,65558
System.Runtime.InteropServices.RuntimeInformation,4.3.0,ok,,0,,5,0,179546,65558
runtime.native.System,4.3.1,ok,,0,,0,0,29727,29727
System.Collections.Concurrent,4.3.0,ok,ref/netcore50/System.Collections.Concurrent.xml,130997,,5,30,502676,65558
Microsoft.IdentityModel.Protocols.OpenIdConnect,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Protocols.OpenIdConnect.xml,115104,README.md,7,7,425233,65558
System.Diagnostics.Tools,4.3.0,ok,ref/netcore50/System.Diagnostics.Tools.xml,3795,,2,20,67227,65558
System.Security.Cryptography.Primitives,4.3.0,ok,,0,,4,0,81382,65558
System.Security.Cryptography.Encoding,4.3.0,ok,ref/netstandard1.3/System.Security.Cryptography.Encoding.xml,16805,,3,10,144382,65558
Microsoft.IdentityModel.Protocols,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Protocols.xml,47110,README.md,7,7,245880,65558
System.Xml.ReaderWriter,4.3.1,ok,ref/netcore50/System.Xml.ReaderWriter.xml,302482,,7,30,1390023,65558
System.AppContext,4.3.0,ok,ref/netstandard1.3/System.AppContext.xml,2101,,8,20,147030,65558
runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,26290,26290
System.Runtime.Numerics,4.3.0,ok,ref/netcore50/System.Runtime.Numerics.xml,91405,,4,20,283763,65558
System.Security.Cryptography.Algorithms,4.3.1,ok,,0,,9,0,403068,65558
System.IO.Pipelines,10.0.11,ok,lib/net10.0/System.IO.Pipelines.xml,41108,,5,5,267203,65558
runtime.ubuntu.14.04-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,52395,52395
Microsoft.AspNetCore.Http.Features,5.0.17,ok,lib/net461/Microsoft.AspNetCore.Http.Features.xml,65016,,3,3,108332,65558
runtime.rhel.7-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,51921,51921
runtime.opensuse.42.1-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,53391,53391
runtime.ubuntu.16.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,52228,52228
System.Security.Permissions,10.0.11,ok,lib/net10.0/System.Security.Permissions.xml,683242,,5,5,542592,65558
Microsoft.Extensions.ObjectPool,10.0.11,ok,lib/net10.0/Microsoft.Extensions.ObjectPool.xml,14969,,3,3,87188,65558
System.Dynamic.Runtime,4.3.0,ok,ref/netcore50/System.Dynamic.Runtime.xml,109789,,5,30,548103,65558
runtime.fedora.23-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,52088,52088
runtime.debian.8-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,53676,53676
runtime.osx.10.10-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,47013,47013
System.Globalization.Extensions,4.3.0,ok,ref/netstandard1.3/System.Globalization.Extensions.xml,13364,,3,10,142949,65558
runtime.opensuse.13.2-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,53445,53445
runtime.fedora.24-x64.runtime.native.System.Security.Cryptography.OpenSsl,4.3.3,ok,,0,,0,0,52102,52102
runtime.native.System.Net.Http,4.3.1,ok,,0,,0,0,29770,29770
System.Net.Primitives,4.3.1,ok,ref/netcore50/System.Net.Primitives.xml,116200,,4,40,778577,65558
System.Globalization.Calendars,4.3.0,ok,ref/netstandard1.3/System.Globalization.Calendars.xml,189834,,3,10,177689,65558
System.Threading.Timer,4.3.0,ok,ref/netcore50/System.Threading.Timer.xml,6734,,2,20,77054,65558
Microsoft.Win32.Primitives,4.3.0,ok,ref/netstandard1.3/Microsoft.Win32.Primitives.xml,2410,,3,10,63333,63333
System.Security.Cryptography.Csp,4.3.0,ok,,0,,3,0,117553,65558
System.Diagnostics.EventLog,10.0.11,ok,lib/net10.0/System.Diagnostics.EventLog.xml,182827,,5,5,546365,65558
Microsoft.Extensions.Configuration.EnvironmentVariables,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Configuration.EnvironmentVariables.xml,5674,,5,5,120447,65558
Microsoft.Win32.SystemEvents,10.0.11,ok,lib/net10.0/Microsoft.Win32.SystemEvents.xml,26969,,5,5,253714,65558
System.Security.Cryptography.OpenSsl,5.0.0,ok,lib/net461/System.Security.Cryptography.OpenSsl.xml,39624,,11,8,350364,65558
Microsoft.Extensions.Http,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Http.xml,134673,,5,5,316393,65558
Microsoft.EntityFrameworkCore.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.EntityFrameworkCore.Abstractions.xml,48772,,1,1,53761,53761
Microsoft.Identity.Client,4.88.0,ok,lib/net462/Microsoft.Identity.Client.xml,885388,README.md,6,6,3350560,65558
System.Drawing.Common,10.0.11,ok,lib/net10.0/System.Drawing.Common.xml,1204240,,11,11,3739519,65558
Microsoft.EntityFrameworkCore.Analyzers,10.0.11,ok,,0,,0,0,51749,51749
runtime.native.System.IO.Compression,4.3.2,ok,,0,,0,0,29794,29794
System.Security.Cryptography.Pkcs,10.0.11,ok,lib/net10.0/System.Security.Cryptography.Pkcs.xml,234448,,6,6,1142475,65558
Microsoft.AspNetCore.Http.Abstractions,2.3.12,ok,lib/netstandard2.0/Microsoft.AspNetCore.Http.Abstractions.xml,87629,,1,1,74836,65558
Microsoft.Net.Http.Headers,10.0.11,ok,lib/net10.0/Microsoft.Net.Http.Headers.xml,117525,,1,1,89419,65558
